#t         x         v         E        delta_E/E(0)
0 0 3 22.5 0
0.01 0.03 2.9991 22.5 9e-08
0.02 0.059982 2.9964 22.5 1.8e-07
0.03 0.089928 2.9919 22.5 2.7e-07
0.04 0.11982 2.98561 22.5 3.6e-07
0.05 0.14964 2.97752 22.5 4.5e-07
0.06 0.179371 2.96765 22.5 5.4e-07
0.07 0.208993 2.956 22.5 6.3e-07
0.08 0.238491 2.94257 22.5 7.2e-07
0.09 0.267845 2.92738 22.5 8.1e-07
0.1 0.297038 2.91043 22.5 9e-07
0.11 0.326053 2.89174 22.5 9.9e-07
0.12 0.354873 2.87131 22.5 1.08e-06
0.13 0.38348 2.84915 22.5 1.17e-06
0.14 0.411856 2.82529 22.5 1.26e-06
0.15 0.439985 2.79973 22.5 1.35e-06
0.16 0.467851 2.77249 22.5 1.44e-06
0.17 0.495435 2.74359 22.5 1.53e-06
0.18 0.522723 2.71304 22.5 1.62e-06
0.19 0.549696 2.68086 22.5 1.71e-06
0.2 0.57634 2.64708 22.5 1.8e-06
0.21 0.602638 2.6117 22.5 1.89e-06
0.22 0.628574 2.57476 22.5 1.98e-06
0.23 0.654133 2.53627 22.5 2.07e-06
0.24 0.679299 2.49626 22.5 2.16e-06
0.25 0.704058 2.45476 22.5001 2.25e-06
0.26 0.728395 2.41178 22.5001 2.34e-06
0.27 0.752294 2.36735 22.5001 2.43e-06
0.28 0.775742 2.3215 22.5001 2.52e-06
0.29 0.798724 2.27426 22.5001 2.61e-06
0.3 0.821227 2.22566 22.5001 2.7e-06
0.31 0.843237 2.17571 22.5001 2.79e-06
0.32 0.864741 2.12447 22.5001 2.88e-06
0.33 0.885727 2.07195 22.5001 2.97e-06
0.34 0.90618 2.01818 22.5001 3.06e-06
0.35 0.92609 1.9632 22.5001 3.15e-06
0.36 0.945444 1.90705 22.5001 3.24001e-06
0.37 0.964231 1.84975 22.5001 3.33001e-06
0.38 0.98244 1.79134 22.5001 3.42001e-06
0.39 1.00006 1.73186 22.5001 3.51001e-06
0.4 1.01708 1.67134 22.5001 3.60001e-06
0.41 1.03349 1.60981 22.5001 3.69001e-06
0.42 1.04927 1.54732 22.5001 3.78001e-06
0.43 1.06443 1.4839 22.5001 3.87001e-06
0.44 1.07895 1.41959 22.5001 3.96001e-06
0.45 1.09282 1.35442 22.5001 4.05001e-06
0.46 1.10604 1.28845 22.5001 4.14001e-06
0.47 1.11859 1.2217 22.5001 4.23001e-06
0.48 1.13047 1.15422 22.5001 4.32001e-06
0.49 1.14168 1.08604 22.5001 4.41001e-06
0.5 1.15219 1.01721 22.5001 4.50001e-06
0.51 1.16202 0.947778 22.5001 4.59001e-06
0.52 1.17115 0.877772 22.5001 4.68001e-06
0.53 1.17958 0.80724 22.5001 4.77001e-06
0.54 1.1873 0.736223 22.5001 4.86001e-06
0.55 1.1943 0.664765 22.5001 4.95001e-06
0.56 1.20059 0.592907 22.5001 5.04001e-06
0.57 1.20616 0.520694 22.5001 5.13001e-06
0.58 1.211 0.448168 22.5001 5.22001e-06
0.59 1.21512 0.375373 22.5001 5.31001e-06
0.6 1.21851 0.302353 22.5001 5.40001e-06
0.61 1.22117 0.229152 22.5001 5.49001e-06
0.62 1.2231 0.155813 22.5001 5.58002e-06
0.63 1.22429 0.0823804 22.5001 5.67002e-06
0.64 1.22474 0.00889847 22.5001 5.76002e-06
0.65 1.22446 -0.0645888 22.5001 5.85002e-06
0.66 1.22345 -0.138037 22.5001 5.94002e-06
0.67 1.2217 -0.211403 22.5001 6.03002e-06
0.68 1.21922 -0.284642 22.5001 6.12002e-06
0.69 1.21601 -0.35771 22.5001 6.21002e-06
0.7 1.21207 -0.430563 22.5001 6.30002e-06
0.71 1.2074 -0.503158 22.5001 6.39002e-06
0.72 1.20201 -0.575451 22.5001 6.48002e-06
0.73 1.19589 -0.647399 22.5001 6.57002e-06
0.74 1.18906 -0.718958 22.5001 6.66002e-06
0.75 1.18151 -0.790086 22.5002 6.75002e-06
0.76 1.17326 -0.86074 22.5002 6.84002e-06
0.77 1.1643 -0.930877 22.5002 6.93002e-06
0.78 1.15464 -1.00046 22.5002 7.02002e-06
0.79 1.14429 -1.06943 22.5002 7.11002e-06
0.8 1.13325 -1.13777 22.5002 7.20003e-06
0.81 1.12153 -1.20542 22.5002 7.29003e-06
0.82 1.10914 -1.27235 22.5002 7.38003e-06
0.83 1.09609 -1.33852 22.5002 7.47003e-06
0.84 1.08237 -1.40388 22.5002 7.56003e-06
0.85 1.06801 -1.46841 22.5002 7.65003e-06
0.86 1.053 -1.53205 22.5002 7.74003e-06
0.87 1.03737 -1.59477 22.5002 7.83003e-06
0.88 1.02111 -1.65653 22.5002 7.92003e-06
